Time,Degree
1/11/2012,21.8208
2/11/2012,23.1208
3/11/2012,23.4083
4/11/2012,24.3875
5/11/2012,23.9875
6/11/2012,23.7542
7/11/2012,23.25
8/11/2012,23.9083
9/11/2012,25.1708
10/11/2012,25.0708
11/11/2012,21.8958
12/11/2012,22.3417
13/11/2012,23.4292
14/11/2012,23.5667
15/11/2012,23.0375
16/11/2012,22.4542
17/11/2012,19.9792
18/11/2012,20.6042
19/11/2012,22.2708
20/11/2012,22.0875
21/11/2012,22.8
22/11/2012,25.9958
23/11/2012,20.3792
24/11/2012,19.9167
25/11/2012,21.5143
26/11/2012,17.3625
27/11/2012,17.3708
28/11/2012,19.8667
29/11/2012,20.3917
30/11/2012,20.8542
1/12/2012,20.3792
2/12/2012,17.5667
3/12/2012,17.2083
4/12/2012,17.3417
5/12/2012,15.5167
6/12/2012,17.4083
7/12/2012,18.9542
8/12/2012,18.5708
9/12/2012,19.0833
10/12/2012,18.1913
11/12/2012,18.4833
12/12/2012,18.0583
13/12/2012,19.4696
14/12/2012,21.4583
15/12/2012,22.75
16/12/2012,23.4083
17/12/2012,21.1167
18/12/2012,15.1333
19/12/2012,16.0417
20/12/2012,18.5083
21/12/2012,20.8042
22/12/2012,16.5875
23/12/2012,12.5917
24/12/2012,14.4826
25/12/2012,17.8375
26/12/2012,18.8917
27/12/2012,18.6208
28/12/2012,19.8522
29/12/2012,15.3875
30/12/2012,9.6417
31/12/2012,11.15
1/1/2013,15.1208
2/1/2013,17.2417
3/1/2013,15.6583
4/1/2013,12.8087
5/1/2013,15.0333
6/1/2013,14.6583
7/1/2013,16.0957
8/1/2013,17.475
9/1/2013,15.5708
10/1/2013,15.0458
11/1/2013,16.2792
12/1/2013,16.4542
13/1/2013,16.4625
14/1/2013,15.9542
15/1/2013,15.9304
16/1/2013,17.5542
17/1/2013,16.2792
18/1/2013,14.5583
19/1/2013,15.6417
20/1/2013,18.6167
21/1/2013,20.4917
22/1/2013,20.8458
23/1/2013,18.025
24/1/2013,19.0609
25/1/2013,17.8958
26/1/2013,17.4625
27/1/2013,16.1375
28/1/2013,16.525
29/1/2013,18.1125
30/1/2013,18.1125
31/1/2013,18.6958
1/2/2013,21.3708
2/2/2013,20.725
3/2/2013,19.2208
4/2/2013,21.5625
5/2/2013,21.8292
6/2/2013,20.7583
7/2/2013,18.7542
8/2/2013,15.1875
9/2/2013,14.4333
10/2/2013,16.3667
11/2/2013,17.3333
12/2/2013,18.7792
13/2/2013,17.5708
14/2/2013,19.2292
15/2/2013,19.9792
16/2/2013,17.3292
17/2/2013,18.8333
18/2/2013,21.2417
19/2/2013,20.1208
20/2/2013,17.2292
21/2/2013,17.7917
22/2/2013,19.1417
23/2/2013,17.9083
24/2/2013,18.3375
25/2/2013,20.2083
26/2/2013,21.7417
27/2/2013,22.15
28/2/2013,18.7625
1/3/2013,20.9042
2/3/2013,15.8417
3/3/2013,15.2292
4/3/2013,17.3833
5/3/2013,18.6958
6/3/2013,19.55
7/3/2013,20.625
8/3/2013,21.6958
9/3/2013,21.5167
10/3/2013,21.6417
11/3/2013,19.9208
12/3/2013,20.9958
13/3/2013,23.075
14/3/2013,18.85
15/3/2013,19.4333
16/3/2013,20.1708
17/3/2013,21.8708
18/3/2013,24.1167
19/3/2013,24.4083
20/3/2013,24.8125
21/3/2013,19.6417
22/3/2013,22.2875
23/3/2013,23.3125
24/3/2013,23.6583
25/3/2013,20.0625
26/3/2013,19
27/3/2013,20.2583
28/3/2013,19.425
29/3/2013,20.3167
30/3/2013,18.7458
31/3/2013,19.6625
1/4/2013,20.5792
2/4/2013,20.6833
3/4/2013,18.9042
4/4/2013,19.6958
5/4/2013,23.875
6/4/2013,18.5625
7/4/2013,18.0875
8/4/2013,18.9
9/4/2013,19.175
10/4/2013,18.4667
11/4/2013,16.7125
12/4/2013,17.7083
13/4/2013,20.575
14/4/2013,21.6292
15/4/2013,23.3083
16/4/2013,23.5174
17/4/2013,24.9292
18/4/2013,25.6542
19/4/2013,24.1167
20/4/2013,23.3667
21/4/2013,20.9583
22/4/2013,19.7792
23/4/2013,22.8375
24/4/2013,25.5792
25/4/2013,25.55
26/4/2013,21.5292
27/4/2013,21.5542
28/4/2013,22.4583
29/4/2013,24.3042
30/4/2013,23.7167
1/5/2013,20.8083
2/5/2013,19.6167
3/5/2013,19.5125
4/5/2013,21.35
5/5/2013,22.25
6/5/2013,22.6958
7/5/2013,23.3333
8/5/2013,22.9667
9/5/2013,25.6217
10/5/2013,24.6667
11/5/2013,25.9917
12/5/2013,24.55
13/5/2013,26.3958
14/5/2013,26.5958
15/5/2013,28.9917
16/5/2013,26.6167
17/5/2013,26.1625
18/5/2013,29.025
19/5/2013,29.2292
20/5/2013,28.2167
21/5/2013,25.5682
22/5/2013,24.7957
23/5/2013,26.8333
24/5/2013,27.9125
25/5/2013,25.6375
26/5/2013,28.4333
27/5/2013,28.75
28/5/2013,29.3125
