Year,Month,Degree
2013,1,16.7722
2013,2,19.0677
2013,3,20.5519
2013,4,21.5544
2013,5,25.7992
2013,6,28.1647
2013,7,27.965
2013,8,28.5931
2013,9,27.5322
2013,10,25.627
2013,11,21.6113
2013,12,16.0747
2014,1,16.3111
2014,2,15.4681
2014,3,18.6905
2014,4,22.5884
2014,5,26.4593
2014,6,29.0073
2014,7,29.7942
2014,8,28.9283
2014,9,28.9819
2014,10,26.2328
2014,11,22.6347
2014,12,16.2916
2015,1,16.4688
2015,2,17.5221
2015,3,19.9163
2015,4,23.6324
2015,5,27.4962
2015,6,29.6735
2015,7,29.1325
2015,8,29.3065
2015,9,28.4106
2015,10,25.972
2015,11,24.0189
2015,12,18.543
